trialNumberGlobal,trialNumberBlock,blockNumber,timeExperiment,timeBlock,reactionTime,blockType,fireType,targetType,numDistractors,numDistractorsSing,blockFirePosition,targetPosition,trialFirePosition,
549,549,0,1567.585,1508.516,0.6922279,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(5.0, 3.0, 10.0)","(0.0, 0.0, 0.0)",
550,550,0,1569.975,1510.906,0.511705,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-1.0, 1.0, 18.0)","(0.0, 0.0, 0.0)",
551,551,0,1571.36,1512.291,0.511705,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-1.0, 3.0, 13.0)","(0.0, 0.0, 0.0)",
552,552,0,1575.526,1516.457,4.758582,BlockFire,none,Fire,30,6,"(-17.0, 2.0, 15.0)","(13.0, 4.0, 9.0)","(0.0, 0.0, 0.0)",
553,553,0,1577.324,1518.256,4.758582,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(11.0, 3.0, 17.0)","(0.0, 0.0, 0.0)",
554,554,0,1579.805,1520.736,2.413813,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-14.0, 1.0, 11.0)","(0.0, 0.0, 0.0)",
555,555,0,1582.352,1523.283,5.093503,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-7.0, 3.0, 14.0)","(0.0, 0.0, 0.0)",
556,556,0,1585.141,1526.073,0.1741529,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-11.0, 2.0, 18.0)","(0.0, 0.0, 0.0)",
557,557,0,1587.456,1528.387,0.1741529,BlockFire,trial,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-3.0, 3.0, 6.0)","(2.0, 1.0, 11.0)",
558,558,0,1589.745,1530.677,1.945424,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(12.0, 1.0, 19.0)","(0.0, 0.0, 0.0)",
559,559,0,1592.346,1533.277,0.2237592,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-3.0, 3.0, 5.0)","(0.0, 0.0, 0.0)",
560,560,0,1596.068,1536.999,1.183937,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(12.0, 4.0, 6.0)","(0.0, 0.0, 0.0)",
561,561,0,1598.927,1539.858,0.390918,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-15.0, 2.0, 10.0)","(0.0, 0.0, 0.0)",
562,562,0,1601.251,1542.183,0.390918,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(15.0, 2.0, 19.0)","(0.0, 0.0, 0.0)",
563,563,0,1603.301,1544.233,0.5734779,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(1.0, 3.0, 9.0)","(0.0, 0.0, 0.0)",
564,564,0,1605.081,1546.012,0.6384505,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-11.0, 3.0, 12.0)","(0.0, 0.0, 0.0)",
565,565,0,1606.419,1547.35,0.2000516,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-2.0, 1.0, 16.0)","(0.0, 0.0, 0.0)",
566,566,0,1608.6,1549.531,0.3467231,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-6.0, 3.0, 1.0)","(0.0, 0.0, 0.0)",
567,567,0,1610.689,1551.62,0.3790702,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(5.0, 4.0, 17.0)","(0.0, 0.0, 0.0)",
568,568,0,1613.223,1554.154,0.6684288,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-17.0, 1.0, 5.0)","(0.0, 0.0, 0.0)",
569,569,0,1616.936,1557.867,1.188308,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(19.0, 4.0, 8.0)","(0.0, 0.0, 0.0)",
570,570,0,1619.042,1559.974,0.3341639,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(5.0, 2.0, 16.0)","(0.0, 0.0, 0.0)",
571,571,0,1621.374,1562.305,0.3269299,BlockFire,trial,Fire,30,6,"(-17.0, 2.0, 15.0)","(12.0, 2.0, 16.0)","(14.0, 4.0, 17.0)",
572,572,0,1623.41,1564.341,0.3269299,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-2.0, 3.0, 11.0)","(0.0, 0.0, 0.0)",
573,573,0,1626.024,1566.955,0.2463417,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-5.0, 1.0, 13.0)","(0.0, 0.0, 0.0)",
574,574,0,1629.676,1570.607,1.206913,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(9.0, 1.0, 2.0)","(0.0, 0.0, 0.0)",
575,575,0,1632.077,1573.008,1.206913,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-10.0, 1.0, 13.0)","(0.0, 0.0, 0.0)",
576,576,0,1634.702,1575.633,0.2235051,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(7.0, 4.0, 12.0)","(0.0, 0.0, 0.0)",
577,577,0,1637.183,1578.114,0.6952278,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-16.0, 2.0, 13.0)","(0.0, 0.0, 0.0)",
578,578,0,1639.428,1580.359,0.3126097,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(3.0, 4.0, 0.0)","(0.0, 0.0, 0.0)",
579,579,0,1642.758,1583.689,1.578767,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(19.0, 4.0, 7.0)","(0.0, 0.0, 0.0)",
580,580,0,1644.437,1585.369,1.578767,BlockFire,trial,NonFire,30,6,"(-17.0, 2.0, 15.0)","(3.0, 2.0, 9.0)","(7.0, 1.0, 5.0)",
581,581,0,1646.868,1587.799,1.987842,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(15.0, 4.0, 10.0)","(0.0, 0.0, 0.0)",
582,582,0,1649.08,1590.011,2.145579,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-3.0, 3.0, 7.0)","(0.0, 0.0, 0.0)",
583,583,0,1652.643,1593.574,1.809951,BlockFire,trial,NonFire,30,6,"(-17.0, 2.0, 15.0)","(18.0, 3.0, 10.0)","(-15.0, 3.0, 17.0)",
584,584,0,1655.079,1596.01,1.809951,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-7.0, 1.0, 5.0)","(0.0, 0.0, 0.0)",
585,585,0,1658.373,1599.305,1.839352,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(6.0, 4.0, 5.0)","(0.0, 0.0, 0.0)",
586,586,0,1661.791,1602.722,1.004749,BlockFire,trial,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-16.0, 3.0, 0.0)","(-18.0, 1.0, 7.0)",
587,587,0,1663.98,1604.911,0.4257368,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-6.0, 1.0, 10.0)","(0.0, 0.0, 0.0)",
588,588,0,1666.126,1607.057,0.8939936,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-14.0, 4.0, 11.0)","(0.0, 0.0, 0.0)",
589,589,0,1667.823,1608.754,0.8939936,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(7.0, 2.0, 12.0)","(0.0, 0.0, 0.0)",
590,590,0,1671.073,1612.004,1.329689,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(16.0, 3.0, 2.0)","(0.0, 0.0, 0.0)",
591,591,0,1673.408,1614.339,0.3587249,BlockFire,none,Fire,30,6,"(-17.0, 2.0, 15.0)","(4.0, 2.0, 8.0)","(0.0, 0.0, 0.0)",
592,592,0,1674.961,1615.892,0.3587249,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-4.0, 1.0, 10.0)","(0.0, 0.0, 0.0)",
593,593,0,1676.927,1617.858,1.630938,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-4.0, 1.0, 17.0)","(0.0, 0.0, 0.0)",
594,594,0,1679.618,1620.549,1.653806,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(16.0, 4.0, 18.0)","(0.0, 0.0, 0.0)",
595,595,0,1681.941,1622.872,0.3361754,BlockFire,block,Fire,30,6,"(-17.0, 2.0, 15.0)","(-16.0, 2.0, 14.0)","(0.0, 0.0, 0.0)",
596,596,0,1684.443,1625.374,0.07821273,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-9.0, 4.0, 15.0)","(0.0, 0.0, 0.0)",
597,597,0,1686.921,1627.853,0.05486125,BlockFire,block,Fire,30,6,"(-17.0, 2.0, 15.0)","(-19.0, 1.0, 16.0)","(0.0, 0.0, 0.0)",
598,598,0,1689.368,1630.299,0.05486125,BlockFire,trial,NonFire,30,6,"(-17.0, 2.0, 15.0)","(14.0, 2.0, 15.0)","(-10.0, 4.0, 6.0)",
599,599,0,1691.903,1632.835,2.390292,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-11.0, 4.0, 15.0)","(0.0, 0.0, 0.0)",
600,0,1,1694.461,1.45322,1.434936,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(15.0, 3.0, 14.0)","(0.0, 0.0, 0.0)",
601,1,1,1698.092,5.083659,2.346615,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-1.0, 4.0, 1.0)","(0.0, 0.0, 0.0)",
602,2,1,1699.611,6.60202,0.2591618,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(2.0, 4.0, 15.0)","(0.0, 0.0, 0.0)",
603,3,1,1701.441,8.431987,0.5935223,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-14.0, 2.0, 19.0)","(0.0, 0.0, 0.0)",
604,4,1,1702.918,9.908414,0.2458871,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(4.0, 2.0, 8.0)","(0.0, 0.0, 0.0)",
605,5,1,1704.303,11.29334,0.2015404,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(1.0, 1.0, 4.0)","(0.0, 0.0, 0.0)",
606,6,1,1705.978,12.96861,0.470607,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(-9.0, 1.0, 11.0)","(0.0, 0.0, 0.0)",
607,7,1,1709.012,16.00289,1.774396,None,none,NonFire,36,0,"(-17.0, 2.0, 15.0)","(19.0, 4.0, 6.0)","(0.0, 0.0, 0.0)",
